order_id,order_date,customer_name,ciudad_cliente,product_name,category,manufacturer,quantity,unit_price_cop,ingreso_neto_item
16,,Lucía Hernández,Bucaramanga,QuantumX Go 2+,Accesorios,QuantumX,3,1906962.69,5720888.07
17,,Camilo Gómez,Medellín,QuantumX X 7+,Wearables,QuantumX,1,3020969.0,3020969.0
17,,Camilo Gómez,Medellín,BlueWave Air 1+,Wearables,BlueWave,2,2367508.28,4261514.904
18,,Camilo Gómez,Bogotá,QuantumX Lite 2S,Telefonos,QuantumX,2,2945519.0,5891038.0
18,,Camilo Gómez,Bogotá,QuantumX Pro 5,Accesorios,QuantumX,3,918.946,2756.838
18,,Camilo Gómez,Bogotá,ElectroNova X 6,Telefonos,Electro Nova,3,,
18,,Camilo Gómez,Bogotá,BlueWave Lite 9+,Wearables,BlueWave,1,1947159.76,1947159.76
19,2023-01-06,Camilo García,Villavicencio,SunDigital Max 3+,Audio,SunDigital,1,2131777.08,2131777.08
19,2023-01-06,Camilo García,Villavicencio,NeoGadgets Air 4+,Tablets,NeoGadgets,2,625543.0,1251086.0
20,,Lucía Hernández,Bucaramanga,ElectroNova Max 5+,Wearables,ElectroNova,1,,
21,,Ana Rodríguez,Cali,AlphaMobile Max 9+,Tablets,AlphaMobile,3,4111752.0,12335256.0
21,,Ana Rodríguez,Cali,TecnoPlus X 3,Tablets,TecnoPlus,3,1722358.97,4392015.3735
22,,Felipe Pérez,Villavicencio,ElectroNova Go 4+,Audio,ElectroNova,1,819012.89,778062.2455
23,,Sofía Rodríguez,Bogota,NeoGadgets Max 2S,Audio,NeoGadgets,3,3553870.0,10661610.0
23,,Sofía Rodríguez,Bogota,UrbanTech Go 6S,Tablets,UrbanTech,1,,
24,,Camilo Flores,Cali,NeoGadgets Max 3+,Tablets,NeoGadgets,3,,
25,2023-09-04,Sofía Pérez,Bucaramanga,SunDigital X 3,Telefonos,SunDigital,1,,
25,2023-09-04,Sofía Pérez,Bucaramanga,QuantumX Max 3,Tablets,QuantumX,2,,
25,2023-09-04,Sofía Pérez,Bucaramanga,MegaDevices Max 9+,Wearables,MegaDevices,3,1435185.0,3659721.75
25,2023-09-04,Sofía Pérez,Bucaramanga,AlphaMobile Max 7S,Audio,AlphaMobile,3,1890642.05,5104733.535
26,,Juan García,Medellin,AlphaMobile Lite 7+,Audio,Alpha Mobile,3,660.927,1784.5029
26,,Juan García,Medellin,UrbanTech Lite 6+,Audio,UrbanTech,2,935324.92,1870649.84
26,,Juan García,Medellin,TecnoPlus Go 7S,Accesorios,TecnoPlus,1,4880133.0,4880133.0
27,,Felipe Flores,Bucaramanga,UrbanTech X 6+,Telefonos,UrbanTech,2,3906698.0,7813396.0
27,,Felipe Flores,Bucaramanga,UrbanTech Go 6S,Tablets,UrbanTech,1,,
27,,Felipe Flores,Bucaramanga,AlphaMobile Max 7S,Audio,AlphaMobile,2,1890642.0,3214091.4
28,,Andrés Gómez,Pereira,ElectroNova Go 4+,Audio,ElectroNova,3,819012.68,2334186.138
28,,Andrés Gómez,Pereira,BlueWave X 4+,Audio,BlueWave,1,1024089.0,972884.5499999999
28,,Andrés Gómez,Pereira,SmartGear X 7+,Tablets,SmartGear,3,1518588.0,4100187.6
29,,Ana Hernández,Barranquilla,ElectroNova X 3S,Accesorios,ElectroNova,3,1294314.34,3688795.8690000004
29,,Ana Hernández,Barranquilla,SmartGear Go 5+,Wearables,SmartGear,3,942.638,2827.914
29,,Ana Hernández,Barranquilla,SunDigital Lite 1+,Audio,SunDigital,3,3498575.0,10495725.0
30,,Jorge Torres,Villavicencio,MegaDevices Lite 1,Audio,MegaDevices,1,1843042.0,1750889.9
31,2023-03-09,Paula García,Barranquilla,NeoGadgets Lite 8,Telefonos,NeoGadgets,1,,
32,,Sara López,Medellin,QuantumX X 4+,Audio,QuantumX,3,,
32,,Sara López,Medellin,BlueWave Air 9S,Audio,BlueWave,1,2333766.0,2333766.0
32,,Sara López,Medellin,UrbanTech Lite 2S,Wearables,UrbanTech,3,357.837,1019.8354499999999
33,2024-07-29,Sofía Rodríguez,Cali,MegaDevices Max 4,Accesorios,MegaDevices,1,,
33,2024-07-29,Sofía Rodríguez,Cali,QuantumX X 7+,Wearables,QuantumX,3,3020969.0,8156616.3
34,2023-04-04,Sofía Flores,Pereira,UrbanTech X 7S,Tablets,UrbanTech,1,,
34,2023-04-04,Sofía Flores,Pereira,BlueWave Pro 7+,Wearables,BlueWave,2,1117767.0,2235534.0
35,,Ana García,Cartagena,TecnoPlus Go 8S,Audio,TecnoPlus,3,3829098.14,11487294.42
36,,Ana Ramírez,Villavicencio,NeoGadgets Go 5,Telefonos,NeoGadgets,2,2019395.0,3634911.0
36,,Ana Ramírez,Villavicencio,MegaDevices Lite 3,Telefonos,MegaDevices,1,1259263.0,1259263.0
36,,Ana Ramírez,Villavicencio,SunDigital Pro 8,Accesorios,SunDigital,1,,
36,,Ana Ramírez,Villavicencio,SunDigital Air 2,Accesorios,SunDigital,3,2771120.0,8313360.0
37,,Ana Ramírez,Villavicencio,UrbanTech Max 2S,Accesorios,UrbanTech,3,3586342.0,10221074.7
37,,Ana Ramírez,Villavicencio,QuantumX Go 2+,Accesorios,QuantumX,2,1906962.31,3432532.1580000003
37,,Ana Ramírez,Villavicencio,AlphaMobile Pro 3,Accesorios,Alpha Mobile,2,1934422.0,3868844.0
38,2025-06-26,Jorge Gómez,Medellín,SmartGear X 7+,Tablets,SmartGear,2,1518588.38,3037176.76
39,2025-04-15,Felipe García,Barranquilla,ElectroNova Air 4+,Wearables,ElectroNova,3,3541120.0,10623360.0
40,,Juan Flores,Bogota,AlphaMobile Pro 4S,Audio,AlphaMobile,2,4941876.63,9883753.26
40,,Juan Flores,Bogota,UrbanTech Lite 8,Audio,UrbanTech,2,955.649,1911.298
41,2024-03-13,Valentina Martínez,Medellin,MegaDevices Pro 2S,Telefonos,MegaDevices,1,4725858.86,4016980.031
41,2024-03-13,Valentina Martínez,Medellin,ElectroNova Go 4+,Audio,ElectroNova,1,819012.0,819012.0
42,2025-02-04,María Castro,Villavicencio,TecnoPlus Max 6,Telefonos,TecnoPlus,1,4554433.93,4554433.93
42,2025-02-04,María Castro,Villavicencio,SunDigital Pro 5,Tablets,SunDigital,1,,
43,,Juan García,Cartagena,ElectroNova Lite 9,Tablets,ElectroNova,3,3459366.5,10378099.5
43,,Juan García,Cartagena,BlueWave X 8+,Audio,BlueWave,2,,
43,,Juan García,Cartagena,SmartGear Pro 5,Tablets,SmartGear,2,912386.0,1733533.4
44,,Juan Torres,Ibagué,SmartGear X 7+,Wearables,SmartGear,3,4530553.51,12912077.5035
45,,Valentina Hernández,Cali,MegaDevices X 3,Accesorios,MegaDevices,1,3475033.0,2953778.05
45,,Valentina Hernández,Cali,TecnoPlus Go 1+,Telefonos,TecnoPlus,3,,
45,,Valentina Hernández,Cali,BlueWave Air 9,Accesorios,BlueWave,2,919.064,1562.4088
45,,Valentina Hernández,Cali,UrbanTech X 7,Wearables,UrbanTech,1,3118343.0,3118343.0
46,,Jorge Torres,Cartagena,QuantumX Air 4S,Telefonos,QuantumX,1,4501035.0,4050931.5
46,,Jorge Torres,Cartagena,UrbanTech Go 1,Telefonos,UrbanTech,2,1240130.0,2480260.0
46,,Jorge Torres,Cartagena,BlueWave Max 9,Wearables,BlueWave,2,521205.0,990289.5
47,2023-02-14,Luis Díaz,Pereira,SmartGear Air 6+,Tablets,SmartGear,2,,
47,2023-02-14,Luis Díaz,Pereira,AlphaMobile X 5+,Telefonos,AlphaMobile,2,2087168.0,3965619.1999999997
47,2023-02-14,Luis Díaz,Pereira,ElectroNova Go 2S,Audio,ElectroNova,1,875.8,788.22
48,2024-04-18,Sara Castro,Bogota,SmartGear Go 2S,Wearables,SmartGear,2,467.438,934.876
48,2024-04-18,Sara Castro,Bogota,BlueWave X 4S,Tablets,BlueWave,1,1920018.0,1632015.3
48,2024-04-18,Sara Castro,Bogota,BlueWave X 8+,Audio,BlueWave,1,2145528.0,2038251.5999999999
48,2024-04-18,Sara Castro,Bogota,ElectroNova Air 4+,Wearables,ElectroNova,1,3541120.0,3541120.0
49,,María Torres,Barranquila,ElectroNova Lite 8+,Wearables,ElectroNova,2,4303593.0,8607186.0
49,,María Torres,Barranquila,UrbanTech X 2+,Wearables,UrbanTech,2,131115.0,236007.0
49,,María Torres,Barranquila,BlueWave Max 9S,Telefonos,BlueWave,3,,
50,,Sofía Gómez,Ibagué,AlphaMobile X 6+,Accesorios,Alpha Mobile,2,3667984.0,6235572.8
51,2024-11-27,Andrés Rodríguez,Villavicencio,SunDigital X 7+,Audio,SunDigital,2,4340127.0,8680254.0
52,,Andrés Castro,Cartagena,BlueWave X 8S,Wearables,BlueWave,3,,
52,,Andrés Castro,Cartagena,SmartGear Pro 5,Tablets,SmartGear,1,912386.0,866766.7
52,,Andrés Castro,Cartagena,NeoGadgets Pro 4S,Telefonos,NeoGadgets,3,882431.0,2647293.0
52,,Andrés Castro,Cartagena,MegaDevices Air 6S,Wearables,MegaDevices,2,4738605.55,8055629.435
53,2023-09-20,Valentina Pérez,Bucaramanga,QuantumX Air 4S,Telefonos,QuantumX,1,4501035.81,4501035.81
54,,Paula Torres,Cartagena,UrbanTech Pro 4S,Telefonos,UrbanTech,2,3998434.0,7597024.6
54,,Paula Torres,Cartagena,UrbanTech Go 6S,Tablets,UrbanTech,2,,
54,,Paula Torres,Cartagena,AlphaMobile Go 8,Accesorios,AlphaMobile,3,2421613.38,6538356.126
54,,Paula Torres,Cartagena,BlueWave X 9+,Telefonos,BlueWave,2,,
55,,Carlos García,Bucaramanga,UrbanTech Go 3S,Accesorios,UrbanTech,1,3441654.0,3441654.0
56,,Sofía Gómez,Ibagué,BlueWave Pro 8S,Audio,BlueWave,1,2796033.0,2656231.35
57,,Carlos Hernández,Pereira,NeoGadgets X 4S,Audio,NeoGadgets,1,3758108.0,3758108.0
57,,Carlos Hernández,Pereira,SmartGear X 7+,Tablets,SmartGear,3,,
57,,Carlos Hernández,Pereira,SunDigital Pro 8,Accesorios,SunDigital,2,3189864.0,5422768.8
58,,Carlos Ramírez,Ibagué,AlphaMobile Go 8,Accesorios,AlphaMobile,2,2421613.6,4358904.48
58,,Carlos Ramírez,Ibagué,UrbanTech Lite 1,Audio,UrbanTech,2,,
58,,Carlos Ramírez,Ibagué,SmartGear X 7+,Tablets,SmartGear,2,1518588.0,3037176.0
58,,Carlos Ramírez,Ibagué,QuantumX Lite 8S,Telefonos,QuantumX,3,583.163,1574.5401000000002
59,,Sara Hernández,Bucaramanga,BlueWave Max 1+,Telefonos,BlueWave,2,,
59,,Sara Hernández,Bucaramanga,QuantumX X 5,Accesorios,QuantumX,1,281530.0,281530.0
59,,Sara Hernández,Bucaramanga,NeoGadgets Go 5,Audio,NeoGadgets,2,4470243.0,8940486.0
60,,Felipe Pérez,Bogotá,BlueWave Pro 5S,Tablets,BlueWave,2,2685565.0,5371130.0
60,,Felipe Pérez,Bogotá,ElectroNova Pro 9,Tablets,ElectroNova,2,,
61,,Juan Flores,Villavicencio,NeoGadgets Go 5,Telefonos,NeoGadgets,1,2019395.0,1817455.5
61,,Juan Flores,Villavicencio,QuantumX Go 2+,Accesorios,QuantumX,2,1906962.0,3813924.0
62,,Andrés Flores,Bogotá,UrbanTech Lite 1,Audio,UrbanTech,1,,
62,,Andrés Flores,Bogotá,BlueWave X 4+,Audio,BlueWave,1,,
62,,Andrés Flores,Bogotá,QuantumX Go 9S,Accesorios,QuantumX,3,3619384.0,10858152.0
62,,Andrés Flores,Bogotá,UrbanTech Pro 4S,Telefonos,UrbanTech,3,3998434.0,10795771.8
63,,Juan Rodríguez,Cali,BlueWave Lite 5+,Tablets,BlueWave,1,2205621.0,2205621.0
63,,Juan Rodríguez,Cali,QuantumX X 4S,Audio,QuantumX,1,3537767.0,3537767.0
64,,Lucía Díaz,Barranquilla,UrbanTech Go 9S,Audio,UrbanTech,1,3162270.0,3162270.0
64,,Lucía Díaz,Barranquilla,SunDigital Air 5+,Tablets,SunDigital,1,,
64,,Lucía Díaz,Barranquilla,BlueWave Max 1S,Telefonos,BlueWave,1,435800.0,435800.0
65,,María Flores,Pereira,QuantumX Max 9+,Audio,QuantumX,1,2945109.87,2945109.87
65,,María Flores,Pereira,TecnoPlus X 4,Wearables,Tecno+,1,173.797,165.10715
66,,Andrés Castro,Barranquila,MegaDevices X 6S,Audio,MegaDevices,3,365472.0,1096416.0
66,,Andrés Castro,Barranquila,SunDigital Lite 2,Audio,SunDigital,2,4391740.0,8783480.0
66,,Andrés Castro,Barranquila,ElectroNova Pro 6,Tablets,ElectroNova,1,2535095.0,2535095.0
66,,Andrés Castro,Barranquila,BlueWave Max 1+,Telefonos,BlueWave,2,3370259.79,6403493.601
67,2025-02-23,Sofía Gómez,Bucaramanga,ElectroNova Pro 6,Tablets,ElectroNova,1,2535095.0,2154830.75
68,2024-02-28,Juan Flores,Bogota,SmartGear Max 3,Tablets,SmartGear,3,4581655.0,13744965.0
68,2024-02-28,Juan Flores,Bogota,QuantumX X 7+,Wearables,QuantumX,3,,
68,2024-02-28,Juan Flores,Bogota,SunDigital Lite 1+,Audio,SunDigital,1,3498575.0,3323646.25
68,2024-02-28,Juan Flores,Bogota,SmartGear Max 1S,Telefonos,SmartGear,2,2635858.0,4480958.6
69,, María Díaz ,Cali,QuantumX Air 4S,Telefonos,QuantumX,2,4501035.0,8551966.5
70,,Sofía Rodríguez,Medellin,UrbanTech Go 1S,Accesorios,UrbanTech,1,,
71,,Juan Gómez,Cali,SunDigital Go 6,Tablets,SunDigital,1,3909572.0,3909572.0
71,,Juan Gómez,Cali,UrbanTech Pro 4S,Telefonos,UrbanTech,1,3998434.0,3598590.6
71,,Juan Gómez,Cali,NeoGadgets Air 3,Audio,NeoGadgets,3,4268214.0,12164409.899999999
71,,Juan Gómez,Cali,NeoGadgets Max 2S,Audio,NeoGadgets,3,3553870.0,9595449.0
72,,Felipe Martínez,Bogota,MegaDevices Lite 8,Telefonos,MegaDevices,3,598.14,1794.42
72,,Felipe Martínez,Bogota,SunDigital Lite 2,Audio,SunDigital,1,,
72,,Felipe Martínez,Bogota,UrbanTech Air 5+,Wearables,UrbanTech,3,,
73,,Sara Torres,Medellin,SmartGear Max 9,Wearables,SmartGear,2,352225.0,598782.5
73,,Sara Torres,Medellin,SmartGear Max 3,Tablets,SmartGear,1,,
73,,Sara Torres,Medellin,SunDigital Max 6+,Tablets,SunDigital,3,806093.0,2297365.05
74,,Juan Martínez,Manizales,SunDigital X 3,Telefonos,SunDigital,3,3978648.43,10145553.4965
74,,Juan Martínez,Manizales,QuantumX Lite 1,Telefonos,QuantumX,2,,
74,,Juan Martínez,Manizales,NeoGadgets Max 3+,Tablets,NeoGadgets,3,,
75,2025-07-12,María Flores,Barranquila,QuantumX X 7+,Wearables,QuantumX,1,3020969.74,2718872.7660000003
75,2025-07-12,María Flores,Barranquila,SunDigital Air 5+,Tablets,SunDigital,1,1644942.0,1562694.9
76,, Paula Castro ,Ibagué,AlphaMobile Go 9+,Accesorios,AlphaMobile,3,1052897.0,3158691.0
76,, Paula Castro ,Ibagué,NeoGadgets Go 5,Telefonos,NeoGadgets,1,2019395.0,1817455.5
76,, Paula Castro ,Ibagué,SmartGear Air 6,Telefonos,Smart Gear,2,,
76,, Paula Castro ,Ibagué,MegaDevices Lite 1,Audio,MegaDevices,1,1843042.0,1843042.0
77,2023-12-07,Luis Rodríguez,Bucaramanga,MegaDevices Pro 9+,Tablets,MegaDevices,3,3703130.0,11109390.0
77,2023-12-07,Luis Rodríguez,Bucaramanga,BlueWave X 4+,Audio,BlueWave,2,1024089.0,1945769.0999999999
78,,Jorge Ramírez,Barranquilla,AlphaMobile Go 8,Accesorios,AlphaMobile,1,2421613.0,2421613.0
78,,Jorge Ramírez,Barranquilla,UrbanTech Go 1S,Accesorios,UrbanTech,1,3597851.0,3597851.0
79,,Ana García,Pereira,SunDigital Pro 5,Tablets,SunDigital,1,1010771.0,1010771.0
79,,Ana García,Pereira,ElectroNova Lite 6+,Wearables,Electro Nova,1,384376.0,345938.4
79,,Ana García,Pereira,MegaDevices Max 4,Accesorios,MegaDevices,3,2622140.0,7866420.0
80,,Diana Gómez,Cali,MegaDevices Air 9,Wearables,MegaDevices,2,2587697.0,4657854.600000001
81,,Jorge Ramírez,Cartagena,SunDigital Lite 1+,Audio,SunDigital,2,,
82,,Camilo López,Cartagena,MegaDevices Go 4+,Accesorios,MegaDevices,1,1632530.81,1469277.729
82,,Camilo López,Cartagena,MegaDevices Air 7+,Accesorios,MegaDevices,3,1572441.0,4717323.0
83,,Sara López,Ibagué,UrbanTech X 6+,Telefonos,UrbanTech,3,,
83,,Sara López,Ibagué,AlphaMobile Go 1,Telefonos,AlphaMobile,3,645533.0,1646109.15
83,,Sara López,Ibagué,NeoGadgets Go 5,Audio,NeoGadgets,2,4470243.0,8940486.0
84,,Carlos García,Bucaramanga,NeoGadgets Lite 2+,Accesorios,NeoGadgets,2,891.919,1783.838
84,,Carlos García,Bucaramanga,SunDigital Lite 2,Audio,SunDigital,3,4391740.0,13175220.0
84,,Carlos García,Bucaramanga,UrbanTech Go 1S,Accesorios,UrbanTech,2,3597851.0,6835916.899999999
84,,Carlos García,Bucaramanga,UrbanTech Air 5+,Wearables,UrbanTech,3,,
85,,Jorge Rodríguez,Cali,NeoGadgets Go 6,Wearables,NeoGadgets,2,561.349,1066.5631
85,,Jorge Rodríguez,Cali,BlueWave Air 9+,Audio,BlueWave,2,,
85,,Jorge Rodríguez,Cali,UrbanTech Go 6S,Tablets,UrbanTech,3,,
86,,Valentina López,Manizales,MegaDevices Max 7S,Telefonos,MegaDevices,2,3992732.0,7985464.0
86,,Valentina López,Manizales,AlphaMobile Pro 3,Accesorios,Alpha Mobile,3,,
87,,Luis Gómez,Cartagena,NeoGadgets Air 3,Audio,NeoGadgets,2,,
87,,Luis Gómez,Cartagena,UrbanTech X 7S,Tablets,UrbanTech,3,1844766.0,5534298.0
88,,Felipe Castro,Manizales,BlueWave X 1S,Audio,BlueWave,3,2702286.0,8106858.0
89,,Ana Hernández,Barranquilla,AlphaMobile Max 8+,Audio,Alpha Mobile,3,416140.0,1061157.0
90,, Camilo Rodríguez ,Bogota,UrbanTech Go 3S,Accesorios,UrbanTech,2,3441654.0,6883308.0
90,, Camilo Rodríguez ,Bogota,BlueWave Air 9S,Audio,BlueWave,1,2333766.0,1983701.0999999999
90,, Camilo Rodríguez ,Bogota,SunDigital Go 6,Tablets,SunDigital,3,3909572.0,10555844.4
90,, Camilo Rodríguez ,Bogota,SmartGear Max 8,Telefonos,SmartGear,1,380.7,323.59499999999997
91,,Sofía Castro,Bogota,QuantumX X 7+,Wearables,QuantumX,2,3020969.0,5437744.2
91,,Sofía Castro,Bogota,SmartGear Go 5+,Wearables,SmartGear,3,942638.0,2827914.0
92,,Sara Torres,Barranquila,ElectroNova Lite 9,Tablets,ElectroNova,1,3459366.0,3286397.6999999997
93,,María Pérez,Cartagena,NeoGadgets Go 5,Audio,NeoGadgets,3,4470243.0,12740192.549999999
94,, Paula García ,Cartagena,ElectroNova Lite 9,Tablets,ElectroNova,2,3459366.0,6226858.8
94,, Paula García ,Cartagena,TecnoPlus Air 4S,Accesorios,TecnoPlus,1,644394.0,612174.2999999999
95,,Lucía García,Cartagena,MegaDevices Pro 8+,Telefonos,MegaDevices,1,,
96,,Sofía Hernández,Cartagena,MegaDevices Go 2S,Audio,MegaDevices,2,3539574.0,7079148.0
97,,Andrés Castro,Cartagena,BlueWave Air 9+,Audio,BlueWave,1,3565005.0,3030254.25
97,,Andrés Castro,Cartagena,NeoGadgets Max 9,Tablets,NeoGadgets,1,1378572.0,1378572.0
97,,Andrés Castro,Cartagena,SunDigital X 7S,Wearables,SunDigital,3,3058774.0,9176322.0
98,,Andrés Castro,Pereira,ElectroNova Air 7+,Tablets,ElectroNova,2,3704719.0,7409438.0
98,,Andrés Castro,Pereira,TecnoPlus Go 7S,Accesorios,TecnoPlus,2,,
98,,Andrés Castro,Pereira,BlueWave X 4+,Audio,BlueWave,3,1024089.05,2765040.4350000005
98,,Andrés Castro,Pereira,TecnoPlus Air 6+,Wearables,TecnoPlus,1,4760928.0,4760928.0
99,,Diana Flores,Bogota,UrbanTech Go 3S,Accesorios,UrbanTech,2,,
100,,Juan García,Cartagena,MegaDevices Air 6S,Wearables,MegaDevices,1,4738605.0,4501674.75
100,,Juan García,Cartagena,NeoGadgets Max 3+,Tablets,NeoGadgets,3,1332108.69,3996326.07
100,,Juan García,Cartagena,AlphaMobile Go 4S,Accesorios,AlphaMobile,1,4997513.0,4747637.35
101,,Ana Flores,Bogota,BlueWave Pro 8S,Audio,BlueWave,2,,
101,,Ana Flores,Bogota,BlueWave X 1S,Audio,BlueWave,3,2702286.0,8106858.0
102,,Jorge Castro,Medellin,AlphaMobile Lite 7+,Audio,Alpha Mobile,1,660927.0,660927.0
103,,Valentina Pérez,Bucaramanga,AlphaMobile Air 7+,Telefonos,AlphaMobile,3,3016871.6,9050614.8
103,,Valentina Pérez,Bucaramanga,BlueWave X 3,Accesorios,BlueWave,2,2994597.0,5090814.899999999
103,,Valentina Pérez,Bucaramanga,MegaDevices Max 9+,Wearables,MegaDevices,2,1435185.13,2870370.26
104,,María Martínez,Cartagena,TecnoPlus Max 4+,Wearables,TecnoPlus,1,4216850.0,4216850.0
104,,María Martínez,Cartagena,SmartGear Lite 7S,Audio,SmartGear,2,880653.0,1673240.7
104,,María Martínez,Cartagena,SunDigital X 3,Accesorios,SunDigital,3,,
105,2024-07-07,Camilo Ramírez,Medellin,MegaDevices Pro 8+,Telefonos,MegaDevices,3,,
105,2024-07-07,Camilo Ramírez,Medellin,TecnoPlus Air 6+,Wearables,TecnoPlus,2,4760928.0,8569670.4
105,2024-07-07,Camilo Ramírez,Medellin,ElectroNova Lite 8S,Tablets,ElectroNova,1,,
106,,Camilo Ramírez,Ibagué,MegaDevices Go 4+,Accesorios,MegaDevices,2,,
106,,Camilo Ramírez,Ibagué,BlueWave X 5S,Accesorios,BlueWave,3,2109362.0,5695277.4
107,,Felipe López,Cartagena,SmartGear Go 2S,Wearables,SmartGear,2,467438.0,934876.0
107,,Felipe López,Cartagena,TecnoPlus Go 8S,Audio,TecnoPlus,3,3829098.0,11487294.0
108,,Camilo Ramírez,Medellin,ElectroNova Pro 6,Tablets,ElectroNova,1,2535095.0,2535095.0
108,,Camilo Ramírez,Medellin,MegaDevices Max 9+,Wearables,MegaDevices,1,,
109,,Lucía Martínez,Cartagena,NeoGadgets Lite 7+,Wearables,NeoGadgets,1,4105871.0,3489990.35
109,,Lucía Martínez,Cartagena,SunDigital X 7S,Wearables,SunDigital,2,3058774.44,6117548.88
109,,Lucía Martínez,Cartagena,AlphaMobile Go 4S,Accesorios,AlphaMobile,3,4997513.49,13493286.423
110,2024-12-22, Diana Gómez ,Bogotá,UrbanTech X 2+,Wearables,UrbanTech,1,131115.51,131115.51
110,2024-12-22, Diana Gómez ,Bogotá,QuantumX X 3S,Telefonos,QuantumX,1,2293514.0,2178838.3
111,,Paula Hernández,Cali,MegaDevices Max 9+,Wearables,MegaDevices,1,1435185.0,1363425.75
112,,Sara Ramírez,Manizales,NeoGadgets Lite 7+,Wearables,NeoGadgets,1,4105871.0,3695283.9
112,,Sara Ramírez,Manizales,BlueWave X 4+,Audio,BlueWave,3,1024089.0,2918653.65
112,,Sara Ramírez,Manizales,UrbanTech X 8,Telefonos,UrbanTech,3,1934925.26,5804775.78
112,,Sara Ramírez,Manizales,NeoGadgets Go 5,Audio,NeoGadgets,2,4470243.0,8046437.4
113,,Ana Martínez,Cali,BlueWave X 4+,Audio,BlueWave,3,1024089.0,2765040.3000000003
